N,User ID,Device,Room,Bootstrap,WiFi Config,MIDI Connection,OSC Configuration,Wifi+OSC,Tot
1,1,Bridge,1,14,194,14,41,235,263
2,1,Bridge,2,19,209,10,17,226,255
3,2,Bridge,1,50,198,180,247,445,675
4,2,Bridge,2,30,60,9,19,79,118
5,3,Bridge,1,36,184,25,43,227,288
6,3,Bridge,2,40,38,5,26,64,109
7,4,Bridge,1,43,174,9,50,224,276
8,4,Bridge,2,49,118,13,11,129,191
9,5,Bridge,1,43,103,11,42,145,199
10,5,Bridge,2,24,60,10,23,83,117
11,6,Bridge,1,89,189,12,24,213,314
12,6,Bridge,2,27,159,17,18,177,221
13,7,Bridge,1,81,357,22,128,485,588
14,7,Bridge,2,35,128,14,24,152,201
15,8,Bridge,1,47,101,25,41,142,214
16,8,Bridge,2,19,153,11,21,174,204
17,9,Bridge,1,62,165,23,34,199,284
18,9,Bridge,2,35,167,20,30,197,252
