N,User ID,Device,Room,Bootstrap,WiFi Config,MIDI Connection,OSC Configuration,Wifi+OSC,Tot
1,1,Laptop,1,82,54,244,49,103,429
2,1,Laptop,2,70,10,49,35,45,164
3,2,Laptop,1,144,27,226,58,85,455
4,2,Laptop,2,96,22,46,9,31,173
5,3,Laptop,1,124,33,185,65,98,407
6,3,Laptop,2,84,27,56,16,43,183
7,4,Laptop,1,123,24,108,48,72,303
8,4,Laptop,2,165,23,36,18,41,242
9,5,Laptop,1,114,21,131,61,82,327
10,5,Laptop,2,77,17,89,22,39,205
11,6,Laptop,1,83,22,156,67,89,328
12,6,Laptop,2,150,47,28,17,64,242
13,7,Laptop,1,281,32,311,89,121,713
14,7,Laptop,2,133,28,114,43,71,318
15,8,Laptop,1,101,22,151,51,73,325
16,8,Laptop,2,83,35,76,23,58,217
17,9,Laptop,1,191,32,102,41,73,366
18,9,Laptop,2,107,23,46,11,34,187
